beam_size,length_penalty,max_len,predicted_expr,bfgs_loss,r2_score,mse,mae,symbolic_match,inference_time,equation_idx,equation_name,true_expr,num_variables
20,0.5,150,x_1**2 + (7.95944097496627e-9*x_1 + x_2)**2,2.0403678611035855e-14,0.9999999999999926,2.0403678611035855e-14,7.19726074294158e-08,0.0,10.982787847518921,0,quadratic_2d,x_1**2 + x_2**2,2
10,0.8,50,x_1**2 + 1.07439097063455e-8*x_1 + x_2**2,2.2106907707967853e-14,0.9999999999999919,2.2106907707967853e-14,7.425435200048014e-08,0.0,4.543497085571289,0,quadratic_2d,x_1**2 + x_2**2,2
20,1.5,75,x_1**2 - 8.93683035546925e-9*x_1*(x_2 + 0.42102818798163) + x_2**2,2.1540547598115738e-14,0.9999999999999921,2.1540547598115738e-14,7.19726074294158e-08,0.0,13.88934874534607,0,quadratic_2d,x_1**2 + x_2**2,2
15,0.5,75,x_1**2 + (1.59320459990612e-8*x_1 + x_2)**2,2.08300038459161e-14,0.9999999999999925,2.08300038459161e-14,7.316469918805524e-08,0.0,8.140629053115845,0,quadratic_2d,x_1**2 + x_2**2,2
10,1.5,100,x_1**2 + x_2**2 - 2.31793354979151e-8*(0.720449195149747*x_1 - 1)**2,2.09273652010053e-14,0.9999999999999923,2.09273652010053e-14,7.764436560364629e-08,0.0,5.43981409072876,0,quadratic_2d,x_1**2 + x_2**2,2
5,0.5,200,x_2**2 + (x_1 - 8.79471609312844e-9)**2,2.1541137133047027e-14,0.9999999999999921,2.1541137133047027e-14,7.206573826579188e-08,0.0,2.559331178665161,0,quadratic_2d,x_1**2 + x_2**2,2
20,1.5,100,x_1**2 - 9.17119799366734e-9*x_1*(x_2 + 0.336068368227378) + x_2**2,2.1540547598115738e-14,0.9999999999999921,2.1540547598115738e-14,7.19726074294158e-08,0.0,14.145469188690186,0,quadratic_2d,x_1**2 + x_2**2,2
8,0.5,50,x_1**2 + 7.82070719296257e-9*x_1 + x_2**2,2.2106768794564503e-14,0.9999999999999919,2.2106768794564503e-14,7.421709824484424e-08,0.0,3.5434834957122803,0,quadratic_2d,x_1**2 + x_2**2,2
15,1.0,100,x_1**2 + x_2**2 - 2.13630873275993e-8*(x_1 - 0.400432793445275)**2,2.0403990319160445e-14,0.9999999999999926,2.0403990319160445e-14,7.202848451015598e-08,0.0,9.04389762878418,0,quadratic_2d,x_1**2 + x_2**2,2
10,0.8,200,x_2**2 + (x_1 + 7.91752630206784e-9)**2,2.2098025720482944e-14,0.9999999999999919,2.2098025720482944e-14,7.395632906082028e-08,0.0,4.724560022354126,0,quadratic_2d,x_1**2 + x_2**2,2
8,2.0,75,x_1**2 + x_2**2 - 3.27352162144201e-8*(0.533373701080231*x_1 - 1)**2,2.108980579149794e-14,0.9999999999999923,2.108980579149794e-14,7.915310362704986e-08,0.0,4.229736089706421,0,quadratic_2d,x_1**2 + x_2**2,2
15,2.0,50,x_1**2 + x_2**2 - 7.06366378999662e-9*(-0.722078087374017*x_1 - 1)**3,2.2108322252989768e-14,0.9999999999999919,2.2108322252989768e-14,7.43754213772263e-08,0.0,10.224055051803589,0,quadratic_2d,x_1**2 + x_2**2,2
8,0.8,100,x_2**2 + (x_1 + 2.83287246393471e-8)**2,2.200185359965169e-14,0.999999999999992,2.200185359965169e-14,7.37886907131724e-08,0.0,3.4321370124816895,0,quadratic_2d,x_1**2 + x_2**2,2
1,2.0,75,(((x_1)**(2))+((x_2)**(2))),2.210898124462273e-14,0.9999999999999919,2.210898124462273e-14,7.435679094669467e-08,1.0,0.2534778118133545,0,quadratic_2d,x_1**2 + x_2**2,2
5,0.8,150,x_2**2 + (x_1 + 2.97804193832743e-8)**2,2.200185359965169e-14,0.999999999999992,2.200185359965169e-14,7.37886907131724e-08,0.0,2.5577902793884277,0,quadratic_2d,x_1**2 + x_2**2,2
8,1.5,75,x_2**2 + (x_1 - 1.45781670587408e-8)**2,2.1541240471066592e-14,0.9999999999999921,2.1541240471066592e-14,7.208436869632351e-08,0.0,3.7790675163269043,0,quadratic_2d,x_1**2 + x_2**2,2
15,1.2,200,x_1**2 + x_2**2 - 1.63547420075467e-8*(x_1 - 0.744878387079449)**2,2.0547391303064703e-14,0.9999999999999925,2.0547391303064703e-14,7.332302942586466e-08,0.0,9.08754825592041,0,quadratic_2d,x_1**2 + x_2**2,2
