expr_true,expr_pred,mse,mae,r2,pointwise_acc,symbolic_match
sin(x_3) + sin(x_3/(x_1 - x_2)),0.95470215505351*sin(x_3) - sin(0.0703038236072625*x_1*tan(x_2)),0.6317998,0.66086954,0.2654675841331482,0.0293,0.0
x_2*cos(x_1*x_3 - x_2) - 1,x_2*sin(x_1*(1.28006466782284*x_2 + x_3)) - 1,32.927307,4.012953,-0.9758696556091309,0.0618,0.0
x_2 + tan(x_1 - 1/(x_1 - 1)),x_2 + tan(x_1 + cos(x_3)/(x_1 + 0.80349758646593)),194315.86,12.022956,-0.00832509994506836,0.2969,0.0
x_1 - x_2**2 - log(x_2),((x_1)+(((-1)*((x_2)**(2)))+((-1)*(ln(((x_2)**(2))**((1)/(4))))))),0.68850744,0.7600113,0.9992956593050621,0.7702,0.0
x_1 - tan(exp(x_1 - 1)),x_1 - 0.00570393591398336*x_1*tan(1.04634364150837*x_1)/cos(x_2*x_3) + 2.35961164329464,4756.518,5.622764,-0.04086494445800781,0.0215,0.0
x_1*(x_1 + 1)/(x_1 - 1),((x_1 - 0.0547915434716378)**2 + 2.30114007428201*sin(x_2 + x_3))/(x_1 - 0.918859017392764),8190.669,3.6586292,-0.0236966609954834,0.0064,0.0
x_1*x_3/(-x_1 + x_2) - x_3,x_1*(x_3 - 4.71422539672917e-5)/(-x_1 + x_2) - x_3,1.0244033e-05,0.000220246,0.9999999999533253,1.0,1.0
tan(x_2 + x_3)/(-x_1 - 1),(-sin(5.15378418595101*x_1 + 37.1851738038756) - tan(x_2 + x_3))/(x_1 - 0.585986017486916),29178.021,6.8094234,-0.1719200611114502,0.0339,0.0
x_1 + cos(x_1 - x_2*x_3),x_1 + cos(x_1 - x_2*x_3) + 0.00324104193902497,1.0503858e-05,0.0032409655,0.9999996888073497,0.9962,0.0
x_3 + x_3/(x_1 + x_2 + x_3),x_3 + x_3/(x_1 + x_2 + x_3 + 0.000186103519287554) - 0.00757187460852824,1004.5561,0.35276803,0.9060019627213478,0.9813,0.0
sqrt(-x_1*x_2 + x_3/x_1),(sqrt(Abs(((x_1)*(x_2))+((x_3)*((x_1)**(-1)))))),0.42007372,0.39674604,0.9474537000060081,0.5365,0.0
x_1/(x_1 + x_3 + log(x_2**4)),(x_1 + sin(0.749786099736716*x_2) - 0.505333313341263)/(x_1 - x_2 + x_3 + 1.04610421427619),95924.336,10.198559,-7.465346336364746,0.075,0.0
sin(x_2/(-x_1 + x_2)) - tan(1),-0.477499185891011*sin((x_1 - cos(0.21644362869057*x_3))/(x_1 - x_2)) - 1.13610540317881,0.2715341,0.4078236,0.16818857192993164,0.0665,0.0
cos(x_2 + sin(x_1)/cos(x_3)),0.207750294070712*asin(cos(x_1 + x_2 + x_3)),0.45980802,0.5996712,0.07817935943603516,0.0063,0.0
x_1**2 + x_2 - tan(1) - 1,x_1**2 + x_2 + 0.0173895139480543*cos(0.551014402933754*x_3) - 2.5551887300589,0.00013207967,0.010179091,0.9999998581306357,0.9935,0.0
